Description,Symbol,Footprint,Footprint_Filter,Manufacturer,Manufacturer_PN,Series,Category,Subcategory,Connector_Type,Pitch_mm,Rows,Gender,Mounting_Style,Orientation,Locking_Mechanism,Version,Exclude_from_BOM,Exclude_from_Board
"IDC Header, 60 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Latch6.5mm_Vertical,*IDC*60*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 60 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Latch9.5mm_Vertical,*IDC*60*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 60 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Latch_Horizontal,*IDC*60*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 60 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Latch_Vertical,*IDC*60*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 60 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Vertical,*IDC*60*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 60 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x30_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x30_P2.54mm_Vertical_SMD,*IDC*60*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x32_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x32-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x32_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x32-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x32_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x32-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x32_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x32-1MP_P2.54mm_Latch_Horizontal,*IDC*64*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x32_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x32-1MP_P2.54mm_Latch_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Horizontal,*IDC*64*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Latch12.0mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Latch6.5mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Latch9.5mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Latch_Horizontal,*IDC*64*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Latch_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 64 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x32_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical,*IDC*64*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
