Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Interface_USB:CY7C65211-24LTXI,CY7C65211-24LTXI,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,"USB-Serial single channel bridge with capsense and BCD, +1.71V to +5.5V VDD, UART/I2C/SPI/RS232/RS422, QFN-24",USB-Serial single channel bridge,QFN*1EP*4x4mm*P0.5mm*,http://www.cypress.com/file/139886/download
Interface_USB:CY7C65211A-24LTXI,CY7C65211A-24LTXI,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,"USB-Serial single channel bridge with capsense and BCD, +1.71V to +5.5V VDD, UART/I2C/SPI/RS232/RS422/RS485, QFN-24",USB-Serial single channel bridge,QFN*1EP*4x4mm*P0.5mm*,http://www.cypress.com/file/139886/download
Interface_USB:CY7C65213-28PVXI,CY7C65213-28PVXI,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,"USB-UART LP Bridge Controller, full speed 12Mbps, +1.71V to 5.5V VDD, UART/RS232/RS422, SSOP-28","USB-UART LP Bridge Controller, full speed 12Mbps",SSOP*5.3x10.2mm*P0.65mm*,http://www.cypress.com/file/139881/download
Interface_USB:CY7C65213-32LTXI,CY7C65213-32LTXI,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,"USB-UART LP Bridge Controller, full speed 12Mbps, +1.71V to 5.5V VDD, UART/RS232/RS422, QFN-32","USB-UART LP Bridge Controller, full speed 12Mbps",QFN*1EP*5x5mm*P0.5mm*,http://www.cypress.com/file/139881/download
Interface_USB:CY7C65213A-28PVXI,CY7C65213A-28PVXI,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,"USB-UART LP Bridge Controller, full speed 12Mbps, +1.71V to 5.5V VDD, UART/RS232/RS422/RS485, SSOP-28","USB-UART LP Bridge Controller, full speed 12Mbps",SSOP*5.3x10.2mm*P0.65mm*,http://www.cypress.com/file/139881/download
Interface_USB:CY7C65213A-32LTXI,CY7C65213A-32LTXI,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,"USB-UART LP Bridge Controller, full speed 12Mbps, +1.71V to 5.5V VDD, UART/RS232/RS422/RS485, QFN-32","USB-UART LP Bridge Controller, full speed 12Mbps",QFN*1EP*5x5mm*P0.5mm*,http://www.cypress.com/file/139881/download
Interface_USB:CY7C65215-32LTXI,CY7C65215-32LTXI,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,"USB-Serial Dual Channel Bridge with CapSense Full-Speed 12 Mbps, +1.71V to +5.5V VDD, UART/I2C/SPI/RS232/RS422/JTAG, QFN-32",USB-Serial single channel bridge,QFN*1EP*5x5mm*P0.5mm*,http://www.cypress.com/file/129956/download
Interface_USB:CY7C65215A-32LTXI,CY7C65215A-32LTXI,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,"USB-Serial Dual Channel Bridge with CapSense, +1.71V to +5.5V VDD, UART/I2C/SPI/RS232/RS422/RS485/JTAG, QFN-32",USB-Serial single channel bridge,QFN*1EP*5x5mm*P0.5mm*,http://www.cypress.com/file/129956/download
Interface_USB:CYPD3171-24LQXQ,CYPD3171-24LQXQ,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,"USB Type-C port controller, Cortex®-M0 processor, UFP CC bootloader, QFN-24",USBPD Quickcharge,QFN*1EP*4x4mm*P0.5mm*EP2.75x2.75mm*,https://www.infineon.com/dgdl/Infineon-EZ-PD(TM)_CCG3PA_Datasheet_USB_Type-C_Port_Controller-DataSheet-v09_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee438366ac0
Interface_USB:CYPD3174-16SXQ,CYPD3174-16SXQ,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"USB Type-C port controller, Cortex®-M0 processor, DFP CC with opto coupler feedback bootloader, SOIC-16",USBPD quickcharge,SOIC*3.9x9.9mm*P1.27mm*,https://www.infineon.com/dgdl/Infineon-EZ-PD(TM)_CCG3PA_Datasheet_USB_Type-C_Port_Controller-DataSheet-v09_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee438366ac0
