"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"MCU_Microchip_PIC16:PIC16F18346-SO","PIC16F18346-SO","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","16384W FLASH, 2048B RAM, 256B EEPROM, SOIC-20","FLASH-Based 8-Bit CMOS Microcontroller Low Power","SOIC*7.5x12.8mm*P1.27mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/40001839B.pdf"
"MCU_Microchip_PIC16:PIC16F18346-SS_0","PIC16F18346-SS_0","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","16384W FLASH, 2048B RAM, 256B EEPROM, SSOP-20","FLASH-Based 8-Bit CMOS Microcontroller Low Power","SSOP*5.3x7.2mm*P0.65mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/40001839B.pdf"
"MCU_Microchip_PIC16:PIC16F18854-xSO","PIC16F18854-xSO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","8-bit Flash MCU, 32MHz, 7KB Flash, 512B RAM 256B EEPROM, SOIC-28","FLASH-Based 8-Bit CMOS Microcontroller Low Power CRC DSM  ADC^2 CLC PLL 32MHz","SOIC*7.5x17.9mm*P1.27mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF18855-75-Data-Sheet-40001802F.pdf"
"MCU_Microchip_PIC16:PIC16F18855-xMV","PIC16F18855-xMV","Package_DFN_QFN:UQFN-28-1EP_4x4mm_P0.4mm_EP2.35x2.35mm","8-bit Flash MCU, 32MHz, 14KB Flash, 1KB RAM 256B EEPROM, UQFN-28","FLASH-Based 8-Bit CMOS Microcontroller Low Power CRC DSM  ADC^2 CLC PLL 32MHz","UQFN*1EP*4x4mm*P0.4mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF18855-75-Data-Sheet-40001802F.pdf"
"MCU_Microchip_PIC16:PIC16F18855-xSO","PIC16F18855-xSO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","8-bit Flash MCU, 32MHz, 14KB Flash, 1024B RAM 256B EEPROM, SOIC-28","FLASH-Based 8-Bit CMOS Microcontroller Low Power CRC DSM  ADC^2 CLC PLL 32MHz","SOIC*7.5x17.9mm*P1.27mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/40001802G.pdf"
"MCU_Microchip_PIC16:PIC16F19195-x5LX","PIC16F19195-x5LX","Package_DFN_QFN:VQFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","8kW FLASH, 1kB RAM, 256B EEPROM, VQFN-64","FLASH-Based 8-Bit CMOS Microcontroller","VQFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19195-xMR","PIC16F19195-xMR","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","8kW FLASH, 1kB RAM, 256B EEPROM, QFN-64","FLASH-Based 8-Bit CMOS Microcontroller","QFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19195-xPT","PIC16F19195-xPT","Package_QFP:TQFP-64_10x10mm_P0.5mm","8kW FLASH, 1kB RAM, 256B EEPROM, TQFP-64","FLASH-Based 8-Bit CMOS Microcontroller","TQFP*10x10mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19196-x5LX","PIC16F19196-x5LX","Package_DFN_QFN:VQFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","16kW FLASH, 2kB RAM, 256B EEPROM, VQFN-64","FLASH-Based 8-Bit CMOS Microcontroller","VQFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19196-xMR","PIC16F19196-xMR","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","16kW FLASH, 2kB RAM, 256B EEPROM, QFN-64","FLASH-Based 8-Bit CMOS Microcontroller","QFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
