"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Switch:SW_Omron_B3FS","SW_Omron_B3FS","","Omron B3FS 6x6mm single pole normally-open tactile switch","switch normally-open pushbutton push-button","SW*Omron*B3FS*","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"Switch:SW_Push","SW_Push","","Push button switch, generic, two pins","switch normally-open pushbutton push-button","","~"
"Switch:SW_Push_45deg","SW_Push_45deg","","Push button switch, normally open, two pins, 45° tilted","switch normally-open pushbutton push-button","","~"
"Switch:SW_Push_DPDT","SW_Push_DPDT","","Momentary Switch, dual pole double throw","switch dual-pole double-throw spdt ON-ON","","~"
"Switch:SW_Push_Dual","SW_Push_Dual","","Push button switch, generic, symbol, four pins","switch normally-open pushbutton push-button","","~"
"Switch:SW_Push_Dual_x2","SW_Push_Dual_x2","","Push button switch, generic, separate symbols, four pins","switch normally-open pushbutton push-button","","~"
"Switch:SW_Push_LED","SW_Push_LED","","Push button switch with LED, generic","switch normally-open pushbutton push-button LED","","~"
"Switch:SW_Push_Lamp","SW_Push_Lamp","","Push button switch with Signal Lamp, generic","switch normally-open pushbutton push-button Lamp","","~"
"Switch:SW_Push_Open","SW_Push_Open","","Push button switch, push-to-open, generic, two pins","switch normally-closed pushbutton push-button","","~"
"Switch:SW_Push_Open_Dual","SW_Push_Open_Dual","","Push button switch, normally closed, generic, four pins","switch normally-closed pushbutton push-button","","~"
"Switch:SW_Push_Open_Dual_x2","SW_Push_Open_Dual_x2","","Push button switch, push-to-open, generic, two pins","switch normally-closed pushbutton push-button","","~"
"Switch:SW_Push_SPDT","SW_Push_SPDT","","Momentary Switch, single pole double throw","switch single-pole double-throw spdt ON-ON","","~"
"Switch:SW_Push_Shielded","SW_Push_Shielded","","Generic push-button switch, two contact pins and shield pin(s)","switch normally-open pushbutton momentary","","~"
"Switch:SW_Reed","SW_Reed","","reed switch","reed magnetic switch","","~"
"Switch:SW_Reed_Opener","SW_Reed_Opener","","reed switch, default-closed","reed magnetic switch","","~"
"Switch:SW_Reed_SPDT","SW_Reed_SPDT","","SPDT reed switch","reed magnetic switch SPDT","","~"
"Switch:SW_Rotary_1x12","SW_Rotary_1x12","","rotary switch with 12 positions","rotary switch 1x12","","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"Switch:SW_Rotary_1x3_MP","SW_Rotary_1x3_MP","","Rotary switch 1x3, SP3T with mount point","Rotary switch 1x3 SP3T","","~"
"Switch:SW_Rotary_1x4_MP","SW_Rotary_1x4_MP","","Rotary switch 1x4, SP4T with mount point","Rotary switch 1x4 SP4T","","~"
