"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"MyLib_LED:LED_GREEN","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_GRKB","LED_GRKB","","RGB LED, green/red/cathode/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KBGR","LED_KBGR","","RGB LED, cathode/blue/green/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KBRG","LED_KBRG","","RGB LED, cathode/blue/red/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KGBR","LED_KGBR","","RGB LED, cathode/green/blue/red","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KGRB","LED_KGRB","","RGB LED, cathode/green/red/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KRBG","LED_KRBG","","RGB LED, cathode/red/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_KRGB","LED_KRGB","","RGB LED, cathode/red/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_ORANGE","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Pad","LED_Pad","","Light emitting diode with pad","LED diode pad","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RABG","LED_RABG","","RGB LED, red/anode/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RAGB","LED_RAGB","","RGB LED, red/anode/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RBAG","LED_RBAG","","RGB LED, red/blue/anode/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RBGA","LED_RBGA","","RGB LED, red/blue/green/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RBGK","LED_RBGK","","RGB LED, red/blue/green/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RBKG","LED_RBKG","","RGB LED, red/blue/cathode/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RED","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGAB","LED_RGAB","","RGB LED, red/green/anode/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGB","LED_RGB","","RGB LED, 6 pin package","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGBA","LED_RGBA","","RGB LED, red/green/blue/anode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGBK","LED_RGBK","","RGB LED, red/green/blue/cathode","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGB_EP","LED_RGB_EP","","RGB LED, 6 pin package with exposed pad","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RGKB","LED_RGKB","","RGB LED, red/green/cathode/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RKBG","LED_RKBG","","RGB LED, red/cathode/blue/green","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_RKGB","LED_RKGB","","RGB LED, red/cathode/green/blue","LED RGB diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Series","LED_Series","","Several LEDs in series","LED diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Series_Pad","LED_Series_Pad","","Several LEDs in series with exposed pad","LED diode pad","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Small","LED_Small","","Light emitting diode, small symbol","LED diode light-emitting-diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_Small_Filled","LED_Small_Filled","","Light emitting diode, small symbol, filled shape","LED diode light-emitting-diode","LED* LED_SMD:* LED_THT:*","~"
"MyLib_LED:LED_YELLOW","LED","","Light emitting diode","LED diode","LED* LED_SMD:* LED_THT:*","~"
