"Database_Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Relay:RTE2xAxx","RTE2xAxx","Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm","Schrack RT2 relay, bistable dual pole dual throw, single DC coil","TE DPDT CO bistable DC","Relay*DPDT*RT2*FormC*","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2_bistable%7F1116%7Fpdf%7FEnglish%7FENG_DS_RT2_bistable_1116.pdf%7F1-1415537-8"
"Relay:RTE2xFxx","RTE2xFxx","Relay_THT:Relay_DPDT_Schrack-RT2-FormC-Dual-Coil_RM5mm","Schrack RT2 relay, bistable dual pole dual throw, dual DC coils","TE DPDT CO bistable DC","Relay*DPDT*RT2*FormC*","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2_bistable%7F1116%7Fpdf%7FEnglish%7FENG_DS_RT2_bistable_1116.pdf%7F1-1415537-8"
"Relay:RTE2xxxx","RTE2xxxx","Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm","Schrack RT2 relay, monostable dual pole dual throw, DC or AC coil","TE DPDT CO monostable","Relay*DPDT*RT2*FormC*","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2%7F1014%7Fpdf%7FEnglish%7FENG_DS_RT2_1014.pdf%7F6-1393243-3"
"Relay:RTE4xxxx","RTE4xxxx","Relay_THT:Relay_DPST_Schrack-RT2-FormA_RM5mm","Schrack RT2 relay, monostable dual pole normally open, DC or AC coil","TE DPST NO monostable","Relay*DPST*RT2*FormA*","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2%7F1014%7Fpdf%7FEnglish%7FENG_DS_RT2_1014.pdf%7F6-1393243-3"
"Relay:Relay_DPDT","Relay_DPDT","","Relay DPDT, monostable, EN50005","2P2T 2-Form-C double dual throw pole","Relay?DPDT*","~"
"Relay:Relay_DPDT_Latching_1coil","Relay_DPDT_Latching_1coil","","Relay DPDT, bistable, single-coil, EN50005","2P2T 2-Form-C double dual pole throw latching","Relay?DPDT*","~"
"Relay:Relay_DPDT_Latching_2coil","Relay_DPDT_Latching_2coil","","Relay DPDT, bistable, double-coil, EN50005","2P2T 2-Form-C double dual pole throw latching","Relay?DPDT*","~"
"Relay:Relay_DPST-NC","Relay_DPST-NC","","Relay DPST, monostable, normally closed, EN50005","2P2T 2-Form-B double dual pole throw NC","Relay?DPST*","~"
"Relay:Relay_DPST-NO","Relay_DPST-NO","","Relay DPST, monostable, normally open, EN50005","2P2T 2-Form-A double dual pole throw NO","Relay?DPST*","~"
"Relay:Relay_DPST_Latching_1coil","Relay_DPST_Latching_1coil","","Relay DPST, monostable, normally open, EN50005","2P2Tdouble dual pole throw latching","Relay?DPST*","~"
