KeyId,MyPN,Name,Description,Symbol,Category,Subcategory,Family,Value,Value2,Inductance,Tolerance,DC_Resistance,Rated_Current,Rated_Voltage,Saturation_Current,Self_Resonant_Frequency,Quality_Factor_Q,Lead_Spacing,Core_Shape,Test_Frequency,Type,Core_Material,Shielding,Winding_Type,Package,Footprint,Footprint_Filter,Dimensions,Length,Width,Height,Weight,Termination,Terminal_Type,Mount,Min_Temp,Max_Temp,Operating_Temp,Temp_Rise,Reflow_Profile,MSL_Rating,Application,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Tape_Width,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Exclude_from_BOM,Exclude_from_Board
,EL-IND-040101,IND_CMCHOKE_98nH_0.5A_0R174_250V_0603,Common Mode Choke 98nH 500mA 250VAC 0603 (Coilcraft),MyLib_Inductor:L,Inductors,,Common_Mode,98nH,,98nH,±25%,0.174Ω,0.5A,250VAC,,1.9GHz,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Coilcraft,0603USB-142,0603USB,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603",,2026-02-01 04:07:52,,,0,0
,EL-IND-040102,IND_CMCHOKE_150nH_0.5A_0R209_250V_0603,Common Mode Choke 150nH 500mA 250VAC 0603 (Coilcraft),MyLib_Inductor:L,Inductors,,Common_Mode,150nH,,150nH,±25%,0.209Ω,0.5A,250VAC,,0.96GHz,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Coilcraft,0603USB-222,0603USB,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603",,2026-02-01 04:07:52,,,0,0
,EL-IND-040103,IND_CMCHOKE_18nH_0.5A_0R077_250V_0603,Common Mode Choke 18nH 500mA 250VAC 0603 (Coilcraft),MyLib_Inductor:L,Inductors,,Common_Mode,18nH,,18nH,±25%,0.077Ω,0.5A,250VAC,,3.8GHz,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Coilcraft,0603USB-251,0603USB,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603",,2026-02-01 04:07:52,,,0,0
,EL-IND-040104,IND_CMCHOKE_37nH_0.5A_0R109_250V_0603,Common Mode Choke 37nH 500mA 250VAC 0603 (Coilcraft),MyLib_Inductor:L,Inductors,,Common_Mode,37nH,,37nH,±25%,0.109Ω,0.5A,250VAC,,3.4GHz,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Coilcraft,0603USB-601,0603USB,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603",,2026-02-01 04:07:52,,,0,0
,EL-IND-040105,IND_CMCHOKE_63nH_0.5A_0R142_250V_0603,Common Mode Choke 63nH 500mA 250VAC 0603 (Coilcraft),MyLib_Inductor:L,Inductors,,Common_Mode,63nH,,63nH,±25%,0.142Ω,0.5A,250VAC,,2.8GHz,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Coilcraft,0603USB-951,0603USB,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603",,2026-02-01 04:07:52,,,0,0
,EL-IND-040106,IND_CMCHOKE_111nH_0.37A_NA_125V_0603,Common Mode Choke 111nH 370mA 125VDC 0603 (Wurth),MyLib_Inductor:L,Inductors,,Common_Mode,111nH,,111nH,±25%,NA,0.37A,125VDC,,NA,,,,,,Ferrite,Unshielded,,0603,MyLib_Inductor_SMD:L_0603,L_0603*,1.6x0.8x0.8mm,1.6mm,0.8mm,0.8mm,,,,SMD,,,-40°C to +85°C,,,,"USB2.0 Data Lines, EMI Filtering",,1,,,Würth Elektronik,744232090,WE-CNSW,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,USB,SMD,0603,Wurth",,2026-02-01 04:07:52,,,0,0
,EL-IND-041101,IND_CMCHOKE_1mH_22A_0R0021_380V_THT,Common Mode Choke 1mH 22A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,1mH,,1mH,±20%,0.0021Ω,22A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,MyLib_Inductor_SMD:L_1206,L_1206*,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x105NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041102,IND_CMCHOKE_1.62mH_19A_0R0032_380V_THT,Common Mode Choke 1.62mH 19A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,1.62mH,,1.62mH,±20%,0.0032Ω,19A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x155NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041103,IND_CMCHOKE_15mH_6A_0R030_380V_THT,Common Mode Choke 15mH 6A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,15mH,,15mH,±20%,0.030Ω,6A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x156NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041104,IND_CMCHOKE_2.2mH_16A_0R0045_380V_THT,Common Mode Choke 2.2mH 16A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,2.2mH,,2.2mH,±20%,0.0045Ω,16A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x205NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
