Package_Type:Footprint
Package_BGA:Alliance_TFBGA-36_6x8mm_Layout6x8_P0.75mm
Package_BGA:Alliance_TFBGA-54_8x8mm_Layout9x9_P0.8mm
Package_BGA:Analog_BGA-165_11.9x16mm_Layout11x15_P1.0mm
Package_BGA:Analog_BGA-209_9.5x16mm_Layout11x19_P0.8mm
Package_BGA:Analog_BGA-28_4x6.25mm_Layout4x7_P0.8mm
Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm
Package_BGA:Analog_BGA-77_9x15mm_Layout7x11_P1.27mm
Package_BGA:BGA-100_11.0x11.0mm_Layout10x10_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD
Package_BGA:BGA-100_12x18mm_Layout10x17_P1mm
Package_BGA:BGA-100_14x18mm_Layout10x17_P1mm
Package_BGA:BGA-100_6.0x6.0mm_Layout11x11_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD
Package_BGA:BGA-1023_33.0x33.0mm_Layout32x32_P1.0mm
Package_BGA:BGA-1156_35.0x35.0mm_Layout34x34_P1.0mm
Package_BGA:BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD
Package_BGA:BGA-1295_37.5x37.5mm_Layout36x36_P1.0mm
Package_BGA:BGA-132_12x18mm_Layout11x17_P1.0mm
Package_BGA:BGA-132_12x18mm_Layout11x17_P1mm
Package_BGA:BGA-144_13.0x13.0mm_Layout12x12_P1.0mm
Package_BGA:BGA-144_7.0x7.0mm_Layout13x13_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD
Package_BGA:BGA-152_14x18mm_Layout13x17_P0.5mm
Package_BGA:BGA-152_14x18mm_Layout13x17_P1mm
Package_BGA:BGA-153_8.0x8.0mm_Layout15x15_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD
Package_BGA:BGA-169_11.0x11.0mm_Layout13x13_P0.8mm_Ball0.5mm_Pad0.4mm_NSMD
Package_BGA:BGA-16_1.92x1.92mm_Layout4x4_P0.5mm
Package_BGA:BGA-196_15x15mm_Layout14x14_P1.0mm
Package_BGA:BGA-200_10x14.5mm_Layout12x22_P0.8x0.65mm
Package_BGA:BGA-24_6x8mm_Layout5x5_P1.0mm
Package_BGA:BGA-24_8x8mm_Layout5x5_P1.0mm
Package_BGA:BGA-256_11.0x11.0mm_Layout20x20_P0.5mm_Ball0.3mm_Pad0.25mm_NSMD
Package_BGA:BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD
Package_BGA:BGA-256_17.0x17.0mm_Layout16x16_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD
Package_BGA:BGA-25_6.35x6.35mm_Layout5x5_P1.27mm
Package_BGA:BGA-324_15.0x15.0mm_Layout18x18_P0.8mm_Ball0.5mm_Pad0.4mm_NSMD
Package_BGA:BGA-324_15x15mm_Layout18x18_P0.8mm
Package_BGA:BGA-324_19.0x19.0mm_Layout18x18_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD
Package_BGA:BGA-352_35.0x35.0mm_Layout26x26_P1.27mm
Package_BGA:BGA-36_3.396x3.466mm_Layout6x6_P0.4mm_Ball0.25mm_Pad0.2mm_NSMD
Package_BGA:BGA-400_21.0x21.0mm_Layout20x20_P1.0mm
Package_BGA:BGA-484_23.0x23.0mm_Layout22x22_P1.0mm
Package_BGA:BGA-48_8.0x9.0mm_Layout6x8_P0.8mm
Package_BGA:BGA-529_19x19mm_Layout23x23_P0.8mm
Package_BGA:BGA-624_21x21mm_Layout25x25_P0.8mm
Package_BGA:BGA-625_21.0x21.0mm_Layout25x25_P0.8mm
Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm
Package_BGA:BGA-64_9.0x9.0mm_Layout10x10_P0.8mm
