Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_FET:BUK7880-55A,BUK7880-55A,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"7A Id, 55V Vds, N-Channel Enhancement Mode MOSFET, SOT-223",n-channel n channel mosfet enhancement mode,SOT?223*,https://assets.nexperia.com/documents/data-sheet/BUK7880-55A.pdf
Transistor_FET:BUK7M10-40EX,BUK7M10-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"56A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 10mOhm Ron, 19.5nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M10-40E.pdf
Transistor_FET:BUK7M12-40EX,BUK7M12-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"48A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 12mOhm Ron, 15.8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M12-40E.pdf
Transistor_FET:BUK7M12-60EX,BUK7M12-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"53A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 12mOhm Ron, 24.8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M12-60E.pdf
Transistor_FET:BUK7M15-60EX,BUK7M15-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"42.9A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 15mOhm Ron, 19.4nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M15-60E.pdf
Transistor_FET:BUK7M17-80EX,BUK7M17-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"43A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 17mOhm Ron, 29.6nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M17-80E.pdf
Transistor_FET:BUK7M19-60EX,BUK7M19-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"35.8A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 19mOhm Ron, 17.3nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M19-60E.pdf
Transistor_FET:BUK7M21-40EX,BUK7M21-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"33A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 21mOhm Ron, 10.7nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M21-40E.pdf
Transistor_FET:BUK7M22-80EX,BUK7M22-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"37A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 22mOhm Ron, 23.9nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M22-80E.pdf
Transistor_FET:BUK7M27-80EX,BUK7M27-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"30A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 27mOhm Ron, 19.5nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M27-80E.pdf
Transistor_FET:BUK7M33-60EX,BUK7M33-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"24A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 33mOhm Ron, 10.9nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M33-60E.pdf
Transistor_FET:BUK7M42-60EX,BUK7M42-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"20A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 42mOhm Ron, 9nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M42-60E.pdf
Transistor_FET:BUK7M45-40EX,BUK7M45-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"19A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 45mOhm Ron, 6.2nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M45-40E.pdf
